"Deal_ID","AI_CAP","CULT","STRUCT","SIZE","DYN","OUT"
187,0.0282949537003208,0.33,0.95,0.999339648320659,0.0500000000000001,0.507474756470816
154,0.810403155663408,0.67,0.67,0.0122404758382311,0.944778205177169,0.996565165623372
97,0.0474601871638534,0.67,0.67,0.996924692148811,0.461062581948536,0
29,0.994752853182388,0.67,0.95,0.0314241583765207,1,0.00363686388108206
45,1,0.67,0.95,0.753108521817786,0.481800382447473,0.999853239521173
62,0.196634203243268,0.67,0.95,1,0.461062581948536,0.209973337264867
73,0.00790664215920821,0.33,0.95,1,0.461062581948536,0.810444153150802
163,0.907735131700425,0.33,0.95,0.954317162194299,0.944778205177169,0.658487815523264
147,0.038363305432489,0.33,0.95,0.428436996116257,0.944778205177169,0.0384779806017704
6,0.994752853182388,0.67,0.67,0.0446822338813399,0.941016050185202,0.605991558785508
177,0.0018674642929526,0.33,0.95,0.241564098645234,0.0500000000000001,0.491233885158177
101,0.965074159416286,0.67,0.67,0.0199378665887028,0.461062581948536,0.620225873049326
184,0.965074159416286,0.67,0.67,0.362241452347933,0.0500000000000001,0.821706256164193
126,0.965074159416286,0.67,0.67,0.0375755426758387,0.944778205177169,0.805527335387001
140,0.965074159416286,0.33,0.95,0.0125390424064567,0.944778205177169,0.805527335387001
21,0.106513730329659,0.67,0.95,0.947805863322904,1,0.920012826103505
185,0.334147957679502,0.67,0.95,1,0.0500000000000001,0.837735802425507
19,0.947577508574276,0.33,0.33,0.0142243767312749,0.314249123138917,0
114,0.972164435767271,0.33,0.95,0.0186734213335296,0.461062581948536,0.987623010298796
176,0.772176551040247,0.33,0.95,0.0326700431633071,0.0500000000000001,0.00128726591286354
156,0.304877498290536,0.33,0.95,0.0228038709421226,0.944778205177169,0.0428006644419085
22,0.0893014128840271,0.67,0.95,1,1,0.946620656893205
82,0.891450920268666,0.33,0.95,0.197536894922929,0.461062581948536,0.813991746748446
57,0.994752853182388,0.67,0.95,0.0339374226001167,1,0.152575338587886
104,0.273460147837603,0.67,0.67,0.999683774672061,0.461062581948536,0.974389717510149
59,0.188194646626857,0.67,0.95,0.127864226856467,1,0.0508543841357154
105,0.918036429303863,0.67,0.67,0.9695639195433,0.461062581948536,0.99984449183421
14,0.736087698041927,0.67,0.95,0.777990099450262,0.999749452151132,0.741204042181091
192,0.986697031016521,0.33,0.95,0.691145278306271,0.0500000000000001,0.937578098189632
72,0.997798226823962,0.67,0.33,0.44118164709721,0.461062581948536,0.00563830700480191
155,0.0068854990943731,0.67,0.95,0.28575243935103,0.944778205177169,0.00923283970274899
86,0.0503640379109603,0.67,0.67,0.534532518192808,0.461062581948536,0.213515431872426
